global,time,income_mountain_50bracket_shape_for_log
world,1867,"30097,59883,106278,183964,318784,557943,977538,1677420,2843141,4920290,8678818,15416757,27011371,46356602,74638086,109701332,143608953,164192843,162299926,141613403,113037392,87121220,66568930,50170777,35953259,24594451,15891468,9825568,6029863,3733752,2284942,1334922,755469,414784,223679,117701,61316,34236,19636,11341,6487,3675,2022,1078,549,275,143,48,10,1"
world,1868,"29921,59828,106080,183288,317275,556103,978907,1689440,2870786,4970836,8756120,15513854,27045993,46261555,74445194,109482349,143453904,164138433,162217751,141433835,112605582,86898923,66732760,51003524,37121893,25739299,16740341,10396974,6371669,3945211,2420409,1423157,806470,443253,237508,124847,64296,35562,20341,11725,6711,3791,2092,1117,559,282,141,48,10,0"
world,1869,"30491,60720,108885,189357,328398,574922,1005782,1721199,2919614,5049997,8884034,15703980,27241940,46404425,74446049,109327540,143242932,163964332,162188484,141581619,112902710,87228936,67103407,51455193,37668036,26380607,17318694,10836498,6646809,4120769,2537833,1501813,851487,468226,249655,131537,67301,36939,21123,12220,7045,4000,2234,1204,618,308,159,56,12,5"
world,1870,"29987,59871,108023,188350,328042,576873,1013249,1734236,2926113,5047690,8867808,15661277,27194536,46334352,74401809,109290839,143295596,164276043,162742393,142256905,113703168,88077820,67876391,52118019,38145953,26628627,17488803,10910698,6695298,4142552,2539073,1491336,843752,462733,247439,129740,66600,36746,21026,12133,6967,3946,2185,1179,601,307,163,57,10,0"
world,1871,"29080,58394,105704,184951,323997,573415,1012862,1735559,2917895,5021995,8805843,15532568,27034047,46165572,74272021,109262848,143372905,164553002,163381075,143223519,114866551,89157742,68762857,52673212,38450157,26884536,17662562,11035653,6778840,4194405,2572985,1511581,853476,466571,248913,130389,66856,36844,21088,12178,7009,3959,2197,1180,604,309,158,61,8,0"
world,1872,"29261,58374,104597,183160,320809,567373,1002454,1719853,2897232,4988640,8748424,15456506,26961419,46086888,74129928,109081544,143195738,164428550,163288578,143240513,115029590,89673899,69638600,53935473,39863831,28041538,18468111,11590358,7130119,4436217,2728171,1610524,911670,499624,265117,139127,70994,38903,22305,12962,7542,4307,2421,1317,683,362,183,78,20,10"
world,1873,"29510,58295,103504,177979,304771,528077,926058,1606339,2751843,4807659,8536466,15219309,26707129,45858825,74047184,109316832,143905274,165562803,164527616,144276797,115742951,90165282,69992563,54378825,40617271,28724690,19009133,11981614,7310960,4460576,2677304,1567921,889269,490920,263330,140753,73560,40499,23193,13469,7839,4498,2542,1391,735,390,198,91,26,12"
world,1874,"29664,58175,102952,175979,298367,512649,897069,1565362,2706502,4754531,8474976,15161822,26611990,45685959,73796079,109206789,144094250,166131267,165133795,144718353,116011669,90303648,70520050,55235261,41929213,29813138,19755273,12448958,7630254,4720153,2880816,1691475,956352,523656,277112,144913,73723,40226,23013,13353,7761,4427,2484,1345,698,364,188,76,19,10"
world,1875,"29199,57272,102766,177796,300302,511734,889648,1549292,2678740,4707395,8397353,15043132,26496333,45614808,73870299,109548920,144753299,167237134,166390776,145726056,116619184,90484530,70385881,55254260,42228241,30299553,20367866,13017258,7977594,4879992,2945218,1740405,1000868,560724,305238,165564,88316,49399,28587,16690,9711,5530,3076,1632,836,435,209,97,25,13"
world,1876,"29334,56942,103036,177372,298824,507877,880390,1529184,2644660,4668234,8366947,15016019,26451824,45530589,73659567,109225058,144430390,167239039,166806569,146697445,118197654,92384844,72033703,56581002,42916025,30527838,20352505,12901494,7899642,4885476,2994859,1775041,1014188,560431,299674,158594,82033,45437,26244,15336,8908,5071,2823,1505,771,391,199,86,24,11"
world,1877,"28800,54283,97214,168850,285978,486672,842117,1460565,2531093,4497760,8130353,14698476,26080875,45082054,73232789,108848587,143972878,166798512,166791325,147540619,119959123,94582943,74014088,58204268,44037287,31324887,20914747,13254435,8025676,4849913,2895816,1693451,963865,534629,287693,154244,81372,45374,26298,15387,9006,5160,2884,1556,809,409,205,97,35,14"
world,1878,"27914,52124,94021,163183,275049,466336,806119,1401425,2438940,4356015,7923313,14398360,25724033,44723275,73015465,108907016,144310977,167498122,167860325,148890323,121324623,95754824,74991541,58930470,44696333,31752954,21187238,13395288,8100416,4887598,2912555,1701959,968716,537034,288795,154983,81951,45791,26543,15495,9049,5176,2865,1539,780,382,188,89,25,13"
